Crop,Season,State,Area,Soil Type,Pesticide Usage,pH,Temperature,Fertilizer Usage,Price,Rainfall
Cotton(lint),Kharif     ,Assam,1739.0,Black Soil,low,Average,Medium,High,2490.092421,3373.2
Onion,Whole Year ,Assam,7832.0,Alluvial Soil,high,Low,Low,Medium,2348.904922,3520.7
Potato,Whole Year ,Assam,75259.0,Laterile Soil,low,Average,High,High,2448.287513,2957.4
Rice,Autumn     ,Assam,607358.0,Alluvial Soil,low,Low,High,High,2714.419518,3079.6
Rice,Summer     ,Assam,174974.0,Black Soil,high,Low,Low,Low,2883.356997,2566.7
Rice,Winter     ,Assam,1743321.0,Black Soil,high,Low,Medium,Medium,2671.146199,2534.4
Sugarcane,Kharif     ,Assam,31318.0,Laterile Soil,low,Low,High,Low,2530.516963,3347.9
Wheat,Rabi       ,Assam,84698.0,Alluvial Soil,high,Low,High,High,2949.403531,3576.4
Groundnut,Kharif     ,Karnataka,847666.0,Alluvial Soil,low,Average,High,High,2406.149058,2899.4
Groundnut,Rabi       ,Karnataka,192416.0,Red/Yellow Soil,low,Average,Low,High,2809.275802,2687.2
Ragi,Kharif     ,Karnataka,897921.0,Laterile Soil,low,Average,Medium,Medium,2413.58116,2960.5
Ragi,Rabi       ,Karnataka,27104.0,Red/Yellow Soil,low,High,Low,Low,2629.306887,2365.8
Ragi,Summer     ,Karnataka,13521.0,Red/Yellow Soil,high,Average,High,Low,2465.931231,2957.8
Rice,Kharif     ,Karnataka,1031530.0,Alluvial Soil,low,High,Low,Low,2483.244345,2741.3
Rice,Rabi       ,Karnataka,53889.0,Alluvial Soil,high,High,High,Medium,2386.784045,2937.5
Rice,Summer     ,Karnataka,268044.0,Alluvial Soil,low,Low,Medium,Medium,2903.456209,2612.4
Sugarcane,Whole Year ,Karnataka,308857.0,Red/Yellow Soil,high,Average,Low,Low,2280.122189,3275.0
Wheat,Rabi       ,Karnataka,250698.0,Red/Yellow Soil,high,Average,Low,High,2277.930324,2352.1
Banana,Whole Year ,Meghalaya,5239.0,Laterile Soil,low,High,Low,Low,3136.29807,2943.2
Cotton(lint),Kharif     ,Meghalaya,7544.0,Black Soil,low,Low,Medium,Low,2793.354269,2606.4
Potato,Whole Year ,Meghalaya,20764.0,Alluvial Soil,low,Average,High,Medium,1784.46589,3554.2
Rice,Kharif     ,Meghalaya,105170.0,Alluvial Soil,low,High,Medium,Low,2330.422378,1496.12
Sugarcane,Whole Year ,Meghalaya,82.0,Red/Yellow Soil,low,Low,High,High,1956.403199,1284.77
